Name,Año,Proyectado ZIPs,Steamer,Real
Trey Sweeney,2023,0.634770889,0.613657786,NA
Bryan De La Cruz,2023,0.732621177,0.728159732,0.71505354
Vaun Brown,2023,0.726882757,0.625076529,NA
Wynton Bernard,2023,0.674638586,0.670925798,NA
Joe Rizzo,2023,0.675593392,0.635160124,NA
Hudson Haskin,2023,0.670488133,0.663977195,NA
Stone Garrett,2023,0.703888889,0.69464508,0.800548539
Jack Suwinski,2023,0.74711349,0.720976078,0.793090012
Dalton Guthrie,2023,0.665095662,0.643062159,NA
Curtis Terry,2023,0.739785083,0.685791756,NA
Francisco Mejia,2023,0.692646219,0.681338784,NA
Osleivis Basabe,2023,0.63716122,0.654937261,NA
Sheldon Neuse,2023,0.634649069,0.653992148,NA
Jared Triolo,2023,0.657931516,0.673604815,NA
Curt Casali,2023,0.719417147,0.655655904,NA
Brian O'Keefe,2023,0.634243572,0.595358842,NA
Korey Lee,2023,0.661156731,0.619076373,NA
Elehuris Montero,2023,0.747146342,0.763249663,0.715958618
Rene Pinto,2023,0.632655967,0.635418155,NA
Andrew Navigato,2023,0.634309436,0.635523673,NA
Maverick Handley,2023,0.630642361,0.609671366,NA
Brett Phillips,2023,0.656985842,0.60253289,NA
Kevin Pillar,2023,0.734608079,0.672978372,NA
Marcus Wilson,2023,0.701153217,0.639433176,NA
Alex Jackson,2023,0.684558349,0.597857898,NA
Nick Sogard,2023,0.664610259,0.635958991,NA
Alex Binelas,2023,0.692368724,0.634261388,NA
George Valera,2023,0.734397589,0.687332165,NA
Joey Wiemer,2023,0.662962963,0.664203182,0.645324649
Daz Cameron,2023,0.655265921,0.632357226,NA
Ali Sanchez,2023,0.629931973,0.608442359,NA
Andrew McCutchen,2023,0.737678131,0.723358299,0.775871414
Joey Bart,2023,0.670391923,0.644190688,NA
Ronaldo Hernandez,2023,0.698175388,0.668040855,NA
Brandon Marsh,2023,0.646365019,0.658109514,0.829470685
Rob Refsnyder,2023,0.76505229,0.727199413,NA
Sergio Alcantara,2023,0.64091734,0.636492333,NA
Kyle Isbel,2023,0.678624214,0.688269473,0.662188268
Danny Mendick,2023,0.642429856,0.627429844,NA
Diego Cartaya,2023,0.717790389,0.589670791,NA
Tomas Telis,2023,0.661114058,0.631467191,NA
Caleb Durbin,2023,0.636952615,0.548636631,NA
John Nogowski,2023,0.683941284,0.630744855,NA
Seth Beer,2023,0.740763754,0.687170445,NA
Israel Pineda,2023,0.622533658,0.611500825,NA
Willie MacIver,2023,0.63745972,0.637048671,NA
Edwin Rios,2023,0.707460906,0.673964138,NA
Tucker Barnhart,2023,0.614878893,0.621786782,NA
Jeremiah Jackson,2023,0.703457338,0.622082728,NA
Spencer Horwitz,2023,0.702152769,0.69516366,NA
Austin Hedges,2023,0.5654147,0.598947422,NA
Michael Gigliotti,2023,0.627665996,0.608844411,NA
Coby Mayo,2023,0.682970648,0.645883634,NA
Andy Ibanez,2023,0.713535828,0.68263574,0.744102593
Andres Chaparro,2023,0.694925518,0.721160815,NA
Jose Iglesias,2023,0.664577789,0.677105583,NA
Kean Wong,2023,0.585355961,0.574759538,NA
Oscar Colas,2023,0.690931373,0.714854329,0.570990694
Josh Lester,2023,0.727038219,0.667271979,NA
Lane Thomas,2023,0.729952429,0.71653664,0.783402132
Freddy Fermin,2023,0.680741087,0.646127113,NA
Angel Martinez,2023,0.657985242,0.642821368,NA
